"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Maine",2.578069,-0.940513,0,-3.518582,0.450490098019604,1.91969432914643,-17.4371255881057,-15.5174312589593,0,0,0,0,0,0
"Manhattan",5.119329,1.485326,0.126821,-3.507182,0.648978301530572,-4.63745393306482,-1.25284455839417,-5.89029849145897,0,0,0,1,0,0
"Marist",-0.28113,7.657415,0,7.938545,0.825730292116847,-2.10460064170086,-8.35365752160486,-10.4582581633057,0,0,0,0,0,0
"Marquette",4.30726,9.403657,5.40608,10.502477,0.795440911817637,5.79904846084848,0.891919165061767,6.69096762591028,0,3,0,3,96.21,58.62
"Marshall",3.30572,11.38537,0,8.07965,0.788223457852052,14.4382806115156,-12.6842283140342,1.75405229748157,0,0,0,0,0,0
"Maryland",13.28909,5.33757,1.62864,-6.32288,0.415833666533387,7.37494193069932,8.35942864398658,15.7343705746859,0,3,1,4,95.36,63.24
"Massachusetts",7.098043,3.107032,1.2377,-2.753311,0.52101681345076,1.9274669119268,-2.20889188685206,-0.281424974925299,0,1,4,5,88.94,52.44
"McNeese",0.428953,2.331285,0,1.902332,0.641728345669134,-4.96859616068802,-8.4952045158284,-13.4638006765164,0,0,0,0,0,0
"Memphis",10.58936,3.083895,1.49258,-6.012885,0.416366546618647,7.37908515016688,1.49482226552404,8.87390741569092,0,0,2,2,85.17,27.49
"Mercer",4.7784412,6.195025,0,1.4165838,0.722298833779304,-4.3884464511654,2.32773954457575,-2.06070690658965,0,0,0,0,0,0
"Miami (FL)",11.46318,7.1793,0,-4.28388,0.428485697139428,7.71658574582636,9.51571948854145,17.2323052343678,2,0,2,4,93.71,62.73
"Miami (OH)",4.907149,-0.028892,1.82844,-3.107601,0.3968,-9.87616063550123,4.07359700032326,-5.80256363517796,0,0,2,2,83.33,24.01
"Michigan",0,14.1166,0,14.1166,0.767353470694139,4.86148300962977,7.31760551208061,12.1790885217104,0,1,3,4,90.49,53.45
"Michigan St.",16.98863,2.33878,0,-14.64985,0.392,11.8316766104015,9.65702190284427,21.4886985132457,2,2,0,4,99,68.72
"Middle Tenn.",4.459536,5.8013,0,1.341764,0.601,-1.42525037032201,4.65099887402066,3.22574850369865,0,0,0,1,0,0
"Milwaukee",13.19393,0,-0.315863,-13.509793,0.141828365673135,3.86680221691757,0.0822214530795268,3.94902366999712,0,0,0,0,0,0
"Minnesota",4.779942,5.366481,4.03115,4.617689,0.5816,-1.87056208683924,0.989937756405536,-0.880624330433688,0,2,1,3,92.69,53.55
"Mississippi St.",10.66922,4.89777,0,-5.77145,0.310462092418484,5.03613577922784,2.94958702492631,7.98572280415409,0,6,1,7,94.12,65.63
"Mississippi Val.",0.131755,-0.378941,0,-0.510696,0.72814180442143,-7.28199286879748,-9.43042934751,-16.7124222163074,0,0,0,0,0,0
"Missouri",4.38322,3.187918,0,-1.195302,0.476504699060188,-0.718284837965159,2.23871132730832,1.52042648934316,0,0,4,4,86.29,39.37
"Missouri St.",2.589839,5.836859,0,3.24702,0.742,-1.85540180343101,-1.61681709590322,-3.47221889933423,0,0,1,1,85.66,15.66
"Monmouth",1.50201,8.971739,0,7.469729,0.899220155968806,6.22047369109721,-0.240683146215173,5.97979054488206,0,0,2,2,83.39,24.3
"Montana",4.24937,6.9655292,0.843916,3.5600752,0.812,-2.32195120290601,3.10225211013143,0.780300907225458,0,0,2,2,83.33,24.01
"Montana St.",3.750459,7.0502,0,3.299741,0.608434939036578,0.692599776551973,-6.17597833037644,-5.4833785538245,0,0,0,1,76.67,6.67
"Morehead St.",6.457959,3.103731,0,-3.354228,0.540108021604321,-1.41789085800959,3.47357314422027,2.05568228621069,0,0,0,0,0,0
"Morgan St.",3.506985,-0.7079869,0,-4.2149719,0.465506898620276,-6.55787102255914,-3.80784354913091,-10.36571457169,0,0,0,0,0,0
"Mt. St. Mary's",2.13997,-0.1948848,0,-2.3348548,0.59368126374725,-8.09855173251591,0.518715288837882,-7.57983644367802,0,0,0,1,80.37,10.37
"Murray St.",7.089771,3.968163,1.49852,-1.623088,0.478,-3.58217053140358,3.12211660088521,-0.460053930518387,0,0,1,1,84.1,14.1
"N.C. A&T",2.472318,2.06072,0,-0.411598,0.423671874142303,-7.3890669162162,-7.88073102183374,-15.2697979380499,0,0,0,0,0,0
